patterns,Supp X,Supp Y,Supp Z
(1+9+)(3+6+)(1+3+6+),0.4,0.06,0.66
(1+9+)(3+4+8+),0.4,0.06,0.66
(1+9+)(1+4+9+),0.4,0.05,0.66
(1+9+)(2+7+9+),0.5,0.06,0.67
(1+9+)(4+7-),0.4,0.05,0.66
(2+3+7+8+),1.0,0.14,0.69
(3+6+8+)(1+2+6+7+),0.4,0.09,0.67
(3+6+8+)(6+7+9+),0.5,0.07,0.67
(1+2+)(3+4-8+)(6+7+9+),0.4,0.08,0.67
(1+2+)(2+4-)(1+3+4+)(2+4-7+),0.4,0.05,0.66
(1+2+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(1+2+)(3+6+)(1+3+6+),0.4,0.06,0.66
(1+2+)(3+4+8+),0.4,0.06,0.66
(1+2+)(1+4+9+),0.4,0.05,0.66
(1+2+)(2+7+9+),0.5,0.06,0.67
(1+2+)(4+7-),0.4,0.05,0.66
(3+4-)(3+4-8+),0.4,0.05,0.66
(2+6+7+)(3+4-8+)(6+7+9+),0.4,0.06,0.66
(2+6+7+)(3+4+8+),0.4,0.07,0.66
(2+6+7+)(1+2+6+7+),0.4,0.06,0.66
(2+6+7+)(2+7+9+),0.5,0.06,0.67
(2+3+8+)(3+4-8+)(6+7+9+),0.4,0.07,0.66
(2+3+8+)(3+4+8+),0.4,0.07,0.66
(2+3+8+)(2+6+7+)(1+2+6+7+),0.4,0.06,0.66
(2+3+8+)(2+4-7+),0.4,0.05,0.66
(2+3+8+)(2+7+9+),0.5,0.06,0.67
(4+9+)(1+3+4+)(2+4-7+),0.4,0.12,0.67
(4+9+)(1+3+4+)(6+7+9+),0.4,0.08,0.67
(4+9+)(3+4-8+)(6+7+9+),0.4,0.05,0.66
(4+9+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(4+9+)(3+4+8+),0.4,0.06,0.66
(4+9+)(1+3+6+),0.4,0.06,0.66
